#REMOTA    TIPO    DNP    XOMNI
R999999_ABB_01    0    146    0
R999999_ABB_01    0    163    1
R999999_ABB_01    0    160    2
R999999_ABB_01    0    161    3
R999999_ABB_01    0    162    4
R999999_ABB_01    0    145    5
R999999_ABB_01    0    39    6
R999999_ABB_01    0    66    7
R999999_ABB_01    0    8    8
R999999_ABB_01    0    17    9
R999999_ABB_01    0    149    10
R999999_ABB_01    0    147    11
R999999_ABB_01    0    169    12
R999999_ABB_01    0    150    13
R999999_ABB_01    0    152    14
R999999_ABB_01    1    0    0
R999999_ABB_01    1    1    1
R999999_ABB_01    1    2    2
R999999_ABB_01    1    3    3
R999999_ABB_01    1    5    4
R999999_ABB_01    1    48    5
R999999_ABB_01    1    87    6
R999999_ABB_01    1    47    7
R999999_ABB_01    1    4    8
R999999_ABB_01    1    6    9
R999999_ABB_01    1    102    10
R999999_ABB_01    1    103    11
R999999_ABB_01    1    104    12
R999999_ABB_01    1    105    13
R999999_ABB_01    2    4    0
R999999_ABB_01    3    79    0
R999999_ABB_01    3    80    1
R999999_ABB_01    3    81    2
R999999_ABB_01    3    82    3
R999999_ABB_01    3    89    4
R999999_ABB_01    3    90    5
R999999_ABB_01    3    41    6
R999999_ABB_01    3    34    7
R999999_ABB_01    3    35    8
R999999_ABB_01    3    36    9
R999999_ABB_01    3    85    10
R999999_ABB_01    3    86    11

#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
#MAPA MODELO ABB
