#REMOTA    TIPO    DNP    XOMNI
R999999_COO_02    0    5    0
R999999_COO_02    0    44    1
R999999_COO_02    0    41    2
R999999_COO_02    0    42    3
R999999_COO_02    0    43    4
R999999_COO_02    0    21    5
R999999_COO_02    0    3    6
R999999_COO_02    0    2    7
R999999_COO_02    0    1    8
R999999_COO_02    0    0    9
R999999_COO_02    0    22    10
R999999_COO_02    0    59    11
R999999_COO_02    0    11    12
R999999_COO_02    0    12    13
R999999_COO_02    0    6    14
R999999_COO_02    0    7    15
R999999_COO_02    0    15    16
R999999_COO_02    0    13    17
R999999_COO_02    0    14    18
R999999_COO_02    0    60    19
R999999_COO_02    0    61    20
R999999_COO_02    0    62    21
R999999_COO_02    0    63    22
R999999_COO_02    0    64    23
R999999_COO_02    0    65    24
R999999_COO_02    0    66    25
R999999_COO_02    1    0    0
R999999_COO_02    1    1    1
R999999_COO_02    1    2    2
R999999_COO_02    1    3    3
R999999_COO_02    1    5    4
R999999_COO_02    1    7    5
R999999_COO_02    1    8    6
R999999_COO_02    1    9    7
R999999_COO_02    1    23    8
R999999_COO_02    1    19    9
R999999_COO_02    1    4    10
R999999_COO_02    1    6    11
R999999_COO_02    1    25    12
R999999_COO_02    1    26    13
R999999_COO_02    1    27    14
R999999_COO_02    1    28    15
R999999_COO_02    1    29    16
R999999_COO_02    1    30    17
R999999_COO_02    1    31    18
R999999_COO_02    1    32    19
R999999_COO_02    1    33    20
R999999_COO_02    2    5    0
R999999_COO_02    3    2    0
R999999_COO_02    3    3    1
R999999_COO_02    3    15    2
R999999_COO_02    3    16    3
R999999_COO_02    3    1    4
R999999_COO_02    3    0    5
R999999_COO_02    3    11    6
R999999_COO_02    3    7    7
R999999_COO_02    3    8    8
R999999_COO_02    3    14    9
R999999_COO_02    3    9    10
R999999_COO_02    3    10    11
R999999_COO_02    3    19    12

#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
#MAPA MODELO FORM6
