#REMOTA    TIPO    DNP    XOMNI
R999999_NOJ_01    0    2    0
R999999_NOJ_01    0    7    1
R999999_NOJ_01    0    8    2
R999999_NOJ_01    0    10    3
R999999_NOJ_01    0    11    4
R999999_NOJ_01    0    42    5
R999999_NOJ_01    0    44    6
R999999_NOJ_01    0    1    7
R999999_NOJ_01    0    5    8
R999999_NOJ_01    0    22    9
R999999_NOJ_01    0    43    10
R999999_NOJ_01    0    38    11
R999999_NOJ_01    0    26    12
R999999_NOJ_01    0    27    13
R999999_NOJ_01    0    36    14
R999999_NOJ_01    0    31    15
R999999_NOJ_01    0    35    16
R999999_NOJ_01    0    30    17
R999999_NOJ_01    0    45    18
R999999_NOJ_01    0    46    19
R999999_NOJ_01    0    47    20
R999999_NOJ_01    0    48    21
R999999_NOJ_01    0    28    22
R999999_NOJ_01    0    29    23
R999999_NOJ_01    1    0    0
R999999_NOJ_01    1    1    1
R999999_NOJ_01    1    2    2
R999999_NOJ_01    1    6    3
R999999_NOJ_01    1    18    4
R999999_NOJ_01    1    24    5
R999999_NOJ_01    1    25    6
R999999_NOJ_01    1    26    7
R999999_NOJ_01    1    13    8
R999999_NOJ_01    1    10    9
R999999_NOJ_01    1    17    10
R999999_NOJ_01    1    19    11
R999999_NOJ_01    1    21    12
R999999_NOJ_01    1    22    13
R999999_NOJ_01    1    23    14
R999999_NOJ_01    1    20    15
R999999_NOJ_01    2    6    0
R999999_NOJ_01    2    7    1
R999999_NOJ_01    2    8    2
R999999_NOJ_01    3    12    0
R999999_NOJ_01    3    7    1
R999999_NOJ_01    3    11    2
R999999_NOJ_01    3    11    3
R999999_NOJ_01    3    1    4
R999999_NOJ_01    3    1    5
R999999_NOJ_01    3    2    6
R999999_NOJ_01    3    3    7
R999999_NOJ_01    3    6    8
R999999_NOJ_01    3    4    9
R999999_NOJ_01    3    5    10


#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
#MAPA MODELO NOJA RC01
