#REMOTA    TIPO    DNP    XOMNI
R999999_NUL_01    0    3    0
R999999_NUL_01    0    54    1
R999999_NUL_01    0    101    2
R999999_NUL_01    0    102    3
R999999_NUL_01    0    103    4
R999999_NUL_01    0    61    5
R999999_NUL_01    0    23    6
R999999_NUL_01    0    35    7
R999999_NUL_01    0    1    8
R999999_NUL_01    0    2    9
R999999_NUL_01    0    64    10
R999999_NUL_01    0    4    11
R999999_NUL_01    0    6    12
R999999_NUL_01    0    7    13
R999999_NUL_01    0    18    14
R999999_NUL_01    0    16    15
R999999_NUL_01    0    5    16
R999999_NUL_01    0    8    17
R999999_NUL_01    0    9    18
R999999_NUL_01    1    0    0
R999999_NUL_01    1    1    1
R999999_NUL_01    1    2    2
R999999_NUL_01    1    3    3
R999999_NUL_01    1    14    4
R999999_NUL_01    1    26    5
R999999_NUL_01    1    6    6
R999999_NUL_01    1    59    7
R999999_NUL_01    1    13    8
R999999_NUL_01    1    15    9
R999999_NUL_01    1    7    10
R999999_NUL_01    1    8    11
R999999_NUL_01    1    9    12
R999999_NUL_01    1    10    13
R999999_NUL_01    3    2    0
R999999_NUL_01    3    0    1
R999999_NUL_01    3    4    2
R999999_NUL_01    3    3    3
R999999_NUL_01    3    3    4
R999999_NUL_01    3    10    5
R999999_NUL_01    3    13    6
R999999_NUL_01    3    14    7
R999999_NUL_01    3    15    8
R999999_NUL_01    3    16    9

#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
#MAPA MODELO NULEC
