#REMOTA    TIPO    DNP    XOMNI
RT999999_RUA_02    0    0    0
RT999999_RUA_02    0    1    1
RT999999_RUA_02    0    2    2
RT999999_RUA_02    0    3    3
RT999999_RUA_02    0    4    4
RT999999_RUA_02    0    5    5
RT999999_RUA_02    0    6    6
RT999999_RUA_02    0    7    7
RT999999_RUA_02    0    8    8
RT999999_RUA_02    0    9    9
RT999999_RUA_02    0    10    10
RT999999_RUA_02    0    11    11
RT999999_RUA_02    0    12    12
RT999999_RUA_02    0    13    13
RT999999_RUA_02    0    14    14
RT999999_RUA_02    0    15    15
RT999999_RUA_02    0    16    16
RT999999_RUA_02    0    17    17
RT999999_RUA_02    0    18    18
RT999999_RUA_02    0    19    19
RT999999_RUA_02    0    20    20
RT999999_RUA_02    0    21    21
RT999999_RUA_02    0    22    22
RT999999_RUA_02    0    23    23
RT999999_RUA_02    0    24    24
RT999999_RUA_02    0    25    25
RT999999_RUA_02    0    26    26
RT999999_RUA_02    0    27    27
RT999999_RUA_02    0    28    28
RT999999_RUA_02    0    29    29
RT999999_RUA_02    0    30    30
RT999999_RUA_02    0    31    31
RT999999_RUA_02    0    32    32
RT999999_RUA_02    0    33    33
RT999999_RUA_02    0    34    34
RT999999_RUA_02    1    0    0
RT999999_RUA_02    1    1    1
RT999999_RUA_02    1    2    2
RT999999_RUA_02    1    3    3
RT999999_RUA_02    1    4    4
RT999999_RUA_02    1    5    5
RT999999_RUA_02    1    6    6
RT999999_RUA_02    1    7    7
RT999999_RUA_02    1    8    8
RT999999_RUA_02    1    9    9
RT999999_RUA_02    1    10    10
RT999999_RUA_02    1    11    11
RT999999_RUA_02    1    12    12
RT999999_RUA_02    1    13    13
RT999999_RUA_02    1    14    14
RT999999_RUA_02    1    15    15
RT999999_RUA_02    1    16    16
RT999999_RUA_02    1    17    17
RT999999_RUA_02    1    18    18
RT999999_RUA_02    1    19    19
RT999999_RUA_02    1    20    20
RT999999_RUA_02    1    21    21
RT999999_RUA_02    1    22    22
RT999999_RUA_02    1    23    23
RT999999_RUA_02    1    24    24
RT999999_RUA_02    1    25    25
RT999999_RUA_02    1    26    26
RT999999_RUA_02    1    27    27
RT999999_RUA_02    2    0    0
RT999999_RUA_02    2    1    1
RT999999_RUA_02    2    2    2
RT999999_RUA_02    3    0    0
RT999999_RUA_02    3    1    1
RT999999_RUA_02    3    2    2
RT999999_RUA_02    3    3    3
RT999999_RUA_02    3    4    4
RT999999_RUA_02    3    5    5
RT999999_RUA_02    3    6    6
RT999999_RUA_02    3    7    7
RT999999_RUA_02    3    8    8
RT999999_RUA_02    3    9    9
RT999999_RUA_02    3    10    10
RT999999_RUA_02    3    11    11
RT999999_RUA_02    3    12    12
RT999999_RUA_02    3    13    13
RT999999_RUA_02    3    14    14
RT999999_RUA_02    3    15    15
RT999999_RUA_02    3    16    16
RT999999_RUA_02    3    17    17

#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
# MAPA MODELO REGULADOR TENSAO SINCMASTER
