#REMOTA    TIPO    DNP    XOMNI
S999999_NOJ_02    0    0    0
S999999_NOJ_02    0    1    1
S999999_NOJ_02    0    2    2
S999999_NOJ_02    0    3    3
S999999_NOJ_02    0    4    4
S999999_NOJ_02    0    5    5
S999999_NOJ_02    0    6    6
S999999_NOJ_02    0    7    7
S999999_NOJ_02    0    8    8
S999999_NOJ_02    0    9    9
S999999_NOJ_02    0    10    10
S999999_NOJ_02    0    11    11
S999999_NOJ_02    0    12    12
S999999_NOJ_02    0    13    13
S999999_NOJ_02    0    14    14
S999999_NOJ_02    0    15    15
S999999_NOJ_02    0    16    16
S999999_NOJ_02    0    17    17
S999999_NOJ_02    0    18    18
S999999_NOJ_02    0    19    19
S999999_NOJ_02    0    20    20
S999999_NOJ_02    0    21    21
S999999_NOJ_02    0    22    22
S999999_NOJ_02    0    23    23
S999999_NOJ_02    0    24    24
S999999_NOJ_02    0    25    25
S999999_NOJ_02    0    26    26
S999999_NOJ_02    0    27    27
S999999_NOJ_02    0    28    28
S999999_NOJ_02    0    29    29
S999999_NOJ_02    0    30    30
S999999_NOJ_02    1    0    0
S999999_NOJ_02    1    1    1
S999999_NOJ_02    1    2    2
S999999_NOJ_02    1    3    3
S999999_NOJ_02    1    4    4
S999999_NOJ_02    1    5    5
S999999_NOJ_02    1    6    6
S999999_NOJ_02    1    7    7
S999999_NOJ_02    1    8    8
S999999_NOJ_02    1    9    9
S999999_NOJ_02    1    10    10
S999999_NOJ_02    1    11    11
S999999_NOJ_02    1    12    12
S999999_NOJ_02    1    13    13
S999999_NOJ_02    1    14    14
S999999_NOJ_02    1    15    15
S999999_NOJ_02    1    16    16
S999999_NOJ_02    1    17    17
S999999_NOJ_02    2    0    0
S999999_NOJ_02    2    1    1
S999999_NOJ_02    2    2    2
S999999_NOJ_02    3    0    0
S999999_NOJ_02    3    1    1
S999999_NOJ_02    3    2    2
S999999_NOJ_02    3    3    3
S999999_NOJ_02    3    4    4
S999999_NOJ_02    3    4    5
S999999_NOJ_02    3    6    6
S999999_NOJ_02    3    7    7
S999999_NOJ_02    3    8    8
S999999_NOJ_02    3    9    9
S999999_NOJ_02    3    10    10
S999999_NOJ_02    3    11    11

#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
#MAPA MODELO SECCIONALIZADOR NOJA RC10
