#REMOTA    TIPO    DNP    XOMNI
R999999_TAV_01    0    0    0
R999999_TAV_01    0    1    1
R999999_TAV_01    0    2    2
R999999_TAV_01    0    3    3
R999999_TAV_01    0    4    4
R999999_TAV_01    0    5    5
R999999_TAV_01    0    6    6
R999999_TAV_01    0    7    7
R999999_TAV_01    0    8    8
R999999_TAV_01    0    9    27
R999999_TAV_01    0    10    9
R999999_TAV_01    0    11    10
R999999_TAV_01    0    12    11
R999999_TAV_01    0    13    12
R999999_TAV_01    0    14    13
R999999_TAV_01    0    15    14
R999999_TAV_01    0    16    15
R999999_TAV_01    0    17    16
R999999_TAV_01    0    18    17
R999999_TAV_01    0    19    18
R999999_TAV_01    0    20    19
R999999_TAV_01    0    21    20
R999999_TAV_01    0    22    21
R999999_TAV_01    0    23    22
R999999_TAV_01    0    24    23
R999999_TAV_01    0    25    24
R999999_TAV_01    0    26    25
R999999_TAV_01    0    27    26
R999999_TAV_01    1    0    0
R999999_TAV_01    1    1    1
R999999_TAV_01    1    2    2
R999999_TAV_01    1    3    3
R999999_TAV_01    1    4    4
R999999_TAV_01    1    5    5
R999999_TAV_01    1    6    6
R999999_TAV_01    1    7    7
R999999_TAV_01    1    8    8
R999999_TAV_01    1    9    9
R999999_TAV_01    1    10    10
R999999_TAV_01    1    11    11
R999999_TAV_01    1    12    12
R999999_TAV_01    1    13    13
R999999_TAV_01    1    14    14
R999999_TAV_01    1    15    15
R999999_TAV_01    1    16    16
R999999_TAV_01    2    0    0
R999999_TAV_01    2    1    1
R999999_TAV_01    2    2    2
R999999_TAV_01    3    0    0
R999999_TAV_01    3    1    1
R999999_TAV_01    3    2    2
R999999_TAV_01    3    3    3
R999999_TAV_01    3    4    4
R999999_TAV_01    3    6    5
R999999_TAV_01    3    7    6
R999999_TAV_01    3    8    7
R999999_TAV_01    3    9    8
R999999_TAV_01    3    10    9
R999999_TAV_01    3    11    10

#TIPOS: EDIGSOE = 0. EANA = 1. EACC = 2. SDIG = 3. SANA = 4
#MAPA MODELO TAVRIDA
